"","local_authority","phase_type","affordability","number_developments","rurality","housing_type","himidlow","number_beds","pupil_yield"
"243","LA14","MAINSTREAM","affordable.housing","Total","Total","Total","Total","Total",0.9913
"244","LA14","MAINSTREAM","market.housing","Total","Total","Total","Total","Total",0.7749
"245","LA14","PRU","affordable.housing","Total","Total","Total","Total","Total",0.0043
"246","LA14","PRU","market.housing","Total","Total","Total","Total","Total",0
"247","LA14","PS","affordable.housing","Total","Total","Total","Total","Total",0.381
"248","LA14","PS","market.housing","Total","Total","Total","Total","Total",0.2294
"249","LA14","SEN","affordable.housing","Total","Total","Total","Total","Total",0.0303
"250","LA14","SEN","market.housing","Total","Total","Total","Total","Total",0.0043
"251","LA14","SS","affordable.housing","Total","Total","Total","Total","Total",0.1775
"252","LA14","SS","market.housing","Total","Total","Total","Total","Total",0.1299
"253","LA01","All Phases","Total","ndev_10to49","Total","Total","Total","Total",1.5638
"254","LA01","All Phases","Total","ndev_50to99","Total","Total","Total","Total",0.8
"255","LA01","All Phases","Total","ndev_100to199","Total","Total","Total","Total",0.9307
"256","LA01","All Phases","Total","ndev_200to499","Total","Total","Total","Total",1.182
"257","LA01","All Phases","Total","ndev_500to999","Total","Total","Total","Total",0
"258","LA01","All Phases","Total","ndev_1000","Total","Total","Total","Total",0
"259","LA01","AP","Total","ndev_10to49","Total","Total","Total","Total",0
"260","LA01","AP","Total","ndev_50to99","Total","Total","Total","Total",0
"261","LA01","AP","Total","ndev_100to199","Total","Total","Total","Total",0
"262","LA01","AP","Total","ndev_200to499","Total","Total","Total","Total",0
"263","LA01","AP","Total","ndev_500to999","Total","Total","Total","Total",0
"264","LA01","AP","Total","ndev_1000","Total","Total","Total","Total",0
"265","LA01","EY","Total","ndev_10to49","Total","Total","Total","Total",0.5851
"266","LA01","EY","Total","ndev_50to99","Total","Total","Total","Total",0.44
"267","LA01","EY","Total","ndev_100to199","Total","Total","Total","Total",0.2772
"268","LA01","EY","Total","ndev_200to499","Total","Total","Total","Total",0.5498
"269","LA01","EY","Total","ndev_500to999","Total","Total","Total","Total",0
"270","LA01","EY","Total","ndev_1000","Total","Total","Total","Total",0
"271","LA01","FE","Total","ndev_10to49","Total","Total","Total","Total",0.2553
"272","LA01","FE","Total","ndev_50to99","Total","Total","Total","Total",0.0133
"273","LA01","FE","Total","ndev_100to199","Total","Total","Total","Total",0.0792
"274","LA01","FE","Total","ndev_200to499","Total","Total","Total","Total",0.0873
"275","LA01","FE","Total","ndev_500to999","Total","Total","Total","Total",0
"276","LA01","FE","Total","ndev_1000","Total","Total","Total","Total",0
"277","LA01","MAINSTREAM","Total","ndev_10to49","Total","Total","Total","Total",1.5426
"278","LA01","MAINSTREAM","Total","ndev_50to99","Total","Total","Total","Total",0.7867
"279","LA01","MAINSTREAM","Total","ndev_100to199","Total","Total","Total","Total",0.9307
"280","LA01","MAINSTREAM","Total","ndev_200to499","Total","Total","Total","Total",1.1599
"281","LA01","MAINSTREAM","Total","ndev_500to999","Total","Total","Total","Total",0
"282","LA01","MAINSTREAM","Total","ndev_1000","Total","Total","Total","Total",0
"283","LA01","PRU","Total","ndev_10to49","Total","Total","Total","Total",0
"284","LA01","PRU","Total","ndev_50to99","Total","Total","Total","Total",0
"285","LA01","PRU","Total","ndev_100to199","Total","Total","Total","Total",0
"286","LA01","PRU","Total","ndev_200to499","Total","Total","Total","Total",0.0025
"287","LA01","PRU","Total","ndev_500to999","Total","Total","Total","Total",0
"288","LA01","PRU","Total","ndev_1000","Total","Total","Total","Total",0
"289","LA01","PS","Total","ndev_10to49","Total","Total","Total","Total",0.5319
"290","LA01","PS","Total","ndev_50to99","Total","Total","Total","Total",0.2267
"291","LA01","PS","Total","ndev_100to199","Total","Total","Total","Total",0.3663
"292","LA01","PS","Total","ndev_200to499","Total","Total","Total","Total",0.3985
"293","LA01","PS","Total","ndev_500to999","Total","Total","Total","Total",0
"294","LA01","PS","Total","ndev_1000","Total","Total","Total","Total",0
"295","LA01","SEN","Total","ndev_10to49","Total","Total","Total","Total",0.0213
"296","LA01","SEN","Total","ndev_50to99","Total","Total","Total","Total",0.0133
"297","LA01","SEN","Total","ndev_100to199","Total","Total","Total","Total",0
"298","LA01","SEN","Total","ndev_200to499","Total","Total","Total","Total",0.0221
"299","LA01","SEN","Total","ndev_500to999","Total","Total","Total","Total",0
"300","LA01","SEN","Total","ndev_1000","Total","Total","Total","Total",0
"301","LA01","SS","Total","ndev_10to49","Total","Total","Total","Total",0.1809
"302","LA01","SS","Total","ndev_50to99","Total","Total","Total","Total",0.08
"303","LA01","SS","Total","ndev_100to199","Total","Total","Total","Total",0.198
"304","LA01","SS","Total","ndev_200to499","Total","Total","Total","Total",0.1439
"305","LA01","SS","Total","ndev_500to999","Total","Total","Total","Total",0
"306","LA01","SS","Total","ndev_1000","Total","Total","Total","Total",0
"307","LA02","All Phases","Total","ndev_10to49","Total","Total","Total","Total",0.9321
"308","LA02","All Phases","Total","ndev_50to99","Total","Total","Total","Total",1.3704
"309","LA02","All Phases","Total","ndev_100to199","Total","Total","Total","Total",0
"310","LA02","All Phases","Total","ndev_200to499","Total","Total","Total","Total",0
"311","LA02","All Phases","Total","ndev_500to999","Total","Total","Total","Total",0
"312","LA02","All Phases","Total","ndev_1000","Total","Total","Total","Total",0
"313","LA02","AP","Total","ndev_10to49","Total","Total","Total","Total",0.0062
"314","LA02","AP","Total","ndev_50to99","Total","Total","Total","Total",0
"315","LA02","AP","Total","ndev_100to199","Total","Total","Total","Total",0
"316","LA02","AP","Total","ndev_200to499","Total","Total","Total","Total",0
"317","LA02","AP","Total","ndev_500to999","Total","Total","Total","Total",0
"318","LA02","AP","Total","ndev_1000","Total","Total","Total","Total",0
"319","LA02","EY","Total","ndev_10to49","Total","Total","Total","Total",0.3272
"320","LA02","EY","Total","ndev_50to99","Total","Total","Total","Total",0.5741
"321","LA02","EY","Total","ndev_100to199","Total","Total","Total","Total",0
"322","LA02","EY","Total","ndev_200to499","Total","Total","Total","Total",0
"323","LA02","EY","Total","ndev_500to999","Total","Total","Total","Total",0
"324","LA02","EY","Total","ndev_1000","Total","Total","Total","Total",0
"325","LA02","FE","Total","ndev_10to49","Total","Total","Total","Total",0.0895
"326","LA02","FE","Total","ndev_50to99","Total","Total","Total","Total",0.0556
"327","LA02","FE","Total","ndev_100to199","Total","Total","Total","Total",0
"328","LA02","FE","Total","ndev_200to499","Total","Total","Total","Total",0
"329","LA02","FE","Total","ndev_500to999","Total","Total","Total","Total",0
"330","LA02","FE","Total","ndev_1000","Total","Total","Total","Total",0
"331","LA02","MAINSTREAM","Total","ndev_10to49","Total","Total","Total","Total",0.9012
"332","LA02","MAINSTREAM","Total","ndev_50to99","Total","Total","Total","Total",1.3519
"333","LA02","MAINSTREAM","Total","ndev_100to199","Total","Total","Total","Total",0
"334","LA02","MAINSTREAM","Total","ndev_200to499","Total","Total","Total","Total",0
"335","LA02","MAINSTREAM","Total","ndev_500to999","Total","Total","Total","Total",0
"336","LA02","MAINSTREAM","Total","ndev_1000","Total","Total","Total","Total",0
"337","LA02","PRU","Total","ndev_10to49","Total","Total","Total","Total",0.0031
"338","LA02","PRU","Total","ndev_50to99","Total","Total","Total","Total",0
"339","LA02","PRU","Total","ndev_100to199","Total","Total","Total","Total",0
"340","LA02","PRU","Total","ndev_200to499","Total","Total","Total","Total",0
"341","LA02","PRU","Total","ndev_500to999","Total","Total","Total","Total",0
"342","LA02","PRU","Total","ndev_1000","Total","Total","Total","Total",0
"343","LA02","PS","Total","ndev_10to49","Total","Total","Total","Total",0.3457
"344","LA02","PS","Total","ndev_50to99","Total","Total","Total","Total",0.537
"345","LA02","PS","Total","ndev_100to199","Total","Total","Total","Total",0
"346","LA02","PS","Total","ndev_200to499","Total","Total","Total","Total",0
"347","LA02","PS","Total","ndev_500to999","Total","Total","Total","Total",0
"348","LA02","PS","Total","ndev_1000","Total","Total","Total","Total",0
"349","LA02","SEN","Total","ndev_10to49","Total","Total","Total","Total",0.0309
"350","LA02","SEN","Total","ndev_50to99","Total","Total","Total","Total",0.0185
"351","LA02","SEN","Total","ndev_100to199","Total","Total","Total","Total",0
"352","LA02","SEN","Total","ndev_200to499","Total","Total","Total","Total",0
"353","LA02","SEN","Total","ndev_500to999","Total","Total","Total","Total",0
"354","LA02","SEN","Total","ndev_1000","Total","Total","Total","Total",0
"355","LA02","SS","Total","ndev_10to49","Total","Total","Total","Total",0.1605
"356","LA02","SS","Total","ndev_50to99","Total","Total","Total","Total",0.2037
"357","LA02","SS","Total","ndev_100to199","Total","Total","Total","Total",0
